Entry	Status	Gene ontology (cellular component)
A2AQR4	unreviewed	
Q6PGF3	reviewed	mediator complex [GO:0016592]; nucleoplasm [GO:0005654]
Q99PM3	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIIA complex [GO:0005672]; transcription factor TFIID complex [GO:0005669]
B2RWS6	reviewed	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; histone acetyltransferase complex [GO:0000123]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; transcription factor complex [GO:0005667]
Q04207	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; NF-kappaB complex [GO:0071159]; NF-kappaB p50/p65 complex [GO:0035525]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; transcription factor complex [GO:0005667]
Q9JHD1	reviewed	A band [GO:0031672]; actomyosin [GO:0042641]; Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; centrosome [GO:0005813]; cytosol [GO:0005829]; histone acetyltransferase complex [GO:0000123]; I band [GO:0031674]; kinetochore [GO:0000776]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q9WVB3	reviewed	cell cortex [GO:0005938]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]
B9EHI3	unreviewed	
P36898	reviewed	dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
D3Z4R4	unreviewed	nucleus [GO:0005634]
P22361	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; photoreceptor outer segment [GO:0001750]; pronucleus [GO:0045120]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]
Q80W03	reviewed	nucleus [GO:0005634]
Q9JL10	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
E0CXP6	unreviewed	
Q8VD21	unreviewed	
Q9D1C8	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; ESCRT I complex [GO:0000813]; late endosome membrane [GO:0031902]; plasma membrane [GO:0005886]
E9Q5M9	unreviewed	intracellular [GO:0005622]
S4R1L6	unreviewed	nucleus [GO:0005634]
E9Q7L6	unreviewed	intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]
O55144	reviewed	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q07279	reviewed	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; protein-DNA complex [GO:0032993]
E9QAP1	unreviewed	intracellular [GO:0005622]
P56477	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
F8VQ05	unreviewed	cell cortex [GO:0005938]
P60335	reviewed	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
G3X8Y3	unreviewed	cytosol [GO:0005829]; NatA complex [GO:0031415]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
Q61545	reviewed	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O08537	reviewed	cilium [GO:0005929]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-DNA complex [GO:0032993]
Q8VH51	reviewed	microtubule cytoskeleton [GO:0015630]; microtubule organizing center [GO:0005815]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
O08609	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q2VPU4	reviewed	cytoplasm [GO:0005737]; mitochondrial outer membrane [GO:0005741]; nucleus [GO:0005634]
O08674	reviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
O08686	reviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
P01101	reviewed	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; transcription factor AP-1 complex [GO:0035976]; transcription factor complex [GO:0005667]
P05627	reviewed	cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]; transcription factor AP-1 complex [GO:0035976]; transcription factor complex [GO:0005667]
P16951	reviewed	cytoplasm [GO:0005737]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
Q01147	reviewed	ATF4-CREB1 transcription factor complex [GO:1990589]; axon [GO:0030424]; chromatin [GO:0000785]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
O08740	reviewed	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]
P97760	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]
Q99NE9	reviewed	nucleus [GO:0005634]; XY body [GO:0001741]
O08791	reviewed	nucleus [GO:0005634]
Q8K4J2	reviewed	nucleus [GO:0005634]
O08856	reviewed	Cajal body [GO:0015030]; histone locus body [GO:0035363]; nuclear speck [GO:0016607]; transcriptionally active chromatin [GO:0035327]; transcription elongation factor complex [GO:0008023]
Q920Q8	reviewed	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; nucleus [GO:0005634]
O08915	reviewed	aryl hydrocarbon receptor complex [GO:0034751]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P30561	reviewed	aryl hydrocarbon receptor complex [GO:0034751]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic aryl hydrocarbon receptor complex [GO:0034752]; nuclear aryl hydrocarbon receptor complex [GO:0034753]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor complex [GO:0005667]
O09000	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; RNA polymerase II transcription factor complex [GO:0090575]
O35973	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O54915	reviewed	intermediate filament cytoskeleton [GO:0045111]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]
O88522	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; IkappaB kinase complex [GO:0008385]; intracellular [GO:0005622]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; spindle pole [GO:0000922]; ubiquitin ligase complex [GO:0000151]
Q8BKT3	reviewed	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type post-mRNA release spliceosomal complex [GO:0071008]
Q8BSY3	unreviewed	nucleus [GO:0005634]
Q8CFD5	reviewed	Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; nuclear matrix [GO:0016363]; nucleotide-excision repair complex [GO:0000109]; nucleus [GO:0005634]; perikaryon [GO:0043204]; protein-containing complex [GO:0032991]
Q8CFN5	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; sarcomere [GO:0030017]; sarcoplasm [GO:0016528]
Q8R1B8	reviewed	nucleus [GO:0005634]
Q8VDQ8	reviewed	centriole [GO:0005814]; centrosome [GO:0005813]; chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glial cell projection [GO:0097386]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; juxtaparanode region of axon [GO:0044224]; lateral loop [GO:0043219]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; midbody [GO:0030496]; mitochondrion [GO:0005739]; mitotic spindle [GO:0072686]; myelin sheath [GO:0043209]; myelin sheath abaxonal region [GO:0035748]; nuclear heterochromatin [GO:0005720]; nucleolus [GO:0005730]; nucleus [GO:0005634]; paranodal junction [GO:0033010]; paranode region of axon [GO:0033270]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; Schmidt-Lanterman incisure [GO:0043220]; spindle [GO:0005819]; terminal loop [GO:0097456]
Q921X6	reviewed	RNA polymerase III complex [GO:0005666]
